route_id,direction_id,hour,trip_count,avg_headway_min,min_headway_min
GS,0,12,12,5.0,5.0
GS,0,13,12,5.0,5.0
GS,0,14,12,5.0,5.0
GS,0,15,15,4.0,4.0
GS,0,16,16,3.75,3.0
GS,0,17,18,3.3333333333333335,3.0
GS,0,18,17,3.5294117647058822,3.0
GS,0,19,13,4.615384615384615,3.5
GS,0,20,13,4.615384615384615,4.0
GS,0,21,12,5.0,5.0
GS,0,22,12,5.0,5.0
GS,0,23,12,5.0,5.0
GS,1,5,2,30.0,5.0
GS,1,6,12,5.0,5.0
GS,1,7,14,4.285714285714286,4.0
GS,1,8,18,3.3333333333333335,3.0
GS,1,9,18,3.3333333333333335,3.0
GS,1,10,13,4.615384615384615,4.0
GS,1,11,12,5.0,5.0
GS,1,12,12,5.0,5.0
GS,1,13,12,5.0,5.0
GS,1,14,12,5.0,5.0
GS,1,15,15,4.0,4.0
GS,1,16,16,3.75,3.0
GS,1,17,18,3.3333333333333335,3.0
GS,1,18,17,3.5294117647058822,3.0
GS,1,19,13,4.615384615384615,3.5
GS,1,20,14,4.285714285714286,4.0
GS,1,21,12,5.0,5.0
GS,1,22,12,5.0,5.0
GS,1,23,12,5.0,5.0
H,0,0,2,30.0,20.5
H,0,1,3,20.0,20.0
H,0,2,3,20.0,20.0
H,0,3,3,20.0,20.0
H,0,4,3,20.0,20.0
H,0,5,3,20.0,19.5
H,0,6,3,20.0,16.5
H,0,7,3,20.0,17.5
H,0,8,5,12.0,12.0
H,0,9,3,20.0,17.0
H,0,10,4,15.0,11.5
H,0,11,3,20.0,15.5
H,0,12,4,15.0,14.5
H,0,13,4,15.0,15.0
H,0,14,4,15.0,15.0
H,0,15,5,12.0,11.5
H,0,16,4,15.0,13.5
H,0,17,4,15.0,13.0
H,0,18,4,15.0,13.0
H,0,19,4,15.0,9.5
H,0,20,3,20.0,15.5
H,0,21,4,15.0,17.0
H,0,22,3,20.0,20.0
H,0,23,3,20.0,20.0
H,1,0,2,30.0,24.0
H,1,1,3,20.0,20.0
H,1,2,3,20.0,20.0
H,1,3,3,20.0,20.0
H,1,4,3,20.0,20.0
H,1,5,3,20.0,20.0
